customer_id,year_week,weekly_quantity,customer_name
HB_GOL001,2025-W20,1350.0,Golden Star Supermarket
HB_GOL001,2025-W21,1068.0,Golden Star Supermarket
HB_GOL001,2025-W22,2911.0,Golden Star Supermarket
HB_GOL001,2025-W23,127.0,Golden Star Supermarket
HB_GOL001,2025-W24,1672.0,Golden Star Supermarket
HB_GOL001,2025-W25,4196.0,Golden Star Supermarket
HB_GOL001,2025-W26,347.0,Golden Star Supermarket
HB_HAA001,2024-W03,1664.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W02,6240.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W04,1664.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W10,2444.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W11,2316.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W12,1759.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W13,1676.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W14,704.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W15,1345.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W17,2233.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W18,2196.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W19,9058.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W20,1263.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W21,1465.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W24,9367.0,HAARLEM SUPERMARKET
HB_HAA001,2025-W26,2558.0,HAARLEM SUPERMARKET
HB_HIR001,2024-W03,800.0,Hiran Tuck Shop
HB_HIR001,2024-W04,2365.0,Hiran Tuck Shop
HB_HIR001,2025-W03,800.0,Hiran Tuck Shop
HB_HIR001,2025-W04,2365.0,Hiran Tuck Shop
HB_HIR001,2025-W11,800.0,Hiran Tuck Shop
HB_HIR001,2025-W14,393.0,Hiran Tuck Shop
HB_HIR001,2025-W15,296.0,Hiran Tuck Shop
HB_HIR001,2025-W16,580.0,Hiran Tuck Shop
HB_HIR001,2025-W17,476.0,Hiran Tuck Shop
HB_HIR001,2025-W18,108.0,Hiran Tuck Shop
HB_HIR001,2025-W19,333.0,Hiran Tuck Shop
HB_HIR001,2025-W20,528.0,Hiran Tuck Shop
HB_HIR001,2025-W21,686.0,Hiran Tuck Shop
HB_HIR001,2025-W22,125.0,Hiran Tuck Shop
HB_HIR001,2025-W24,323.0,Hiran Tuck Shop
HB_HIR001,2025-W25,1315.0,Hiran Tuck Shop
HB_HIR001,2025-W26,427.0,Hiran Tuck Shop
HB_HOP001,2024-W03,4070.0,Hope Cash&Carry
HB_HOP001,2024-W04,2683.0,Hope Cash&Carry
HB_HOP001,2025-W02,2362.0,Hope Cash&Carry
HB_HOP001,2025-W03,1890.0,Hope Cash&Carry
HB_HOP001,2025-W04,4165.0,Hope Cash&Carry
HB_HOP001,2025-W05,698.0,Hope Cash&Carry
HB_HOP001,2025-W10,5355.0,Hope Cash&Carry
HB_HOP001,2025-W13,2716.0,Hope Cash&Carry
HB_HOP001,2025-W14,2287.0,Hope Cash&Carry
HB_HOP001,2025-W16,1045.0,Hope Cash&Carry
HB_HOP001,2025-W17,2436.0,Hope Cash&Carry
HB_HOP001,2025-W18,1268.0,Hope Cash&Carry
HB_HOP001,2025-W19,5259.0,Hope Cash&Carry
HB_HOP001,2025-W20,2939.0,Hope Cash&Carry
HB_HOP001,2025-W21,4979.0,Hope Cash&Carry
HB_HOP001,2025-W23,822.0,Hope Cash&Carry
HB_HOP001,2025-W24,1554.0,Hope Cash&Carry
HB_HOP001,2025-W25,7078.0,Hope Cash&Carry
HB_HOP001,2025-W26,7578.0,Hope Cash&Carry
HB_JJ'001,2024-W03,2990.0,JJ's Supermarket
HB_JJ'001,2024-W05,1400.0,JJ's Supermarket
HB_JJ'001,2025-W02,540.0,JJ's Supermarket
HB_JJ'001,2025-W03,2228.0,JJ's Supermarket
HB_JJ'001,2025-W04,762.0,JJ's Supermarket
HB_JJ'001,2025-W05,1400.0,JJ's Supermarket
HB_JJ'001,2025-W10,5108.0,JJ's Supermarket
HB_JJ'001,2025-W12,1761.0,JJ's Supermarket
HB_JJ'001,2025-W13,488.0,JJ's Supermarket
HB_JJ'001,2025-W14,7303.0,JJ's Supermarket
HB_JJ'001,2025-W15,1666.0,JJ's Supermarket
HB_JJ'001,2025-W17,1738.0,JJ's Supermarket
HB_JJ'001,2025-W18,3974.0,JJ's Supermarket
HB_JJ'001,2025-W19,1046.0,JJ's Supermarket
HB_JJ'001,2025-W20,2429.0,JJ's Supermarket
HB_JJ'001,2025-W21,3246.0,JJ's Supermarket
HB_JJ'001,2025-W22,3174.0,JJ's Supermarket
HB_JJ'001,2025-W23,1452.0,JJ's Supermarket
HB_JJ'001,2025-W24,2502.0,JJ's Supermarket
HB_JJ'001,2025-W25,468.0,JJ's Supermarket
HB_JJ'001,2025-W26,800.0,JJ's Supermarket
HB_KWL001,2024-W03,4384.0,Kwllos Shop
HB_KWL001,2025-W03,4384.0,Kwllos Shop
HB_KWL001,2025-W23,343.0,Kwllos Shop
HB_KWL001,2025-W24,1899.0,Kwllos Shop
HB_KWL001,2025-W25,328.0,Kwllos Shop
HB_LII001,2024-W04,100.0,LIIBAAN SHOP
HB_LII001,2025-W04,100.0,LIIBAAN SHOP
HB_LII001,2025-W12,185.0,LIIBAAN SHOP
HB_LII001,2025-W18,357.0,LIIBAAN SHOP
HB_LII001,2025-W19,337.0,LIIBAAN SHOP
HB_LII001,2025-W20,194.0,LIIBAAN SHOP
HB_LII001,2025-W22,98.0,LIIBAAN SHOP
HB_MAD003,2024-W04,1060.0,Madina SupermRket
HB_MAD003,2024-W05,350.0,Madina SupermRket
HB_MAD003,2025-W02,606.0,Madina SupermRket
HB_MAD003,2025-W04,1060.0,Madina SupermRket
HB_MAD003,2025-W05,350.0,Madina SupermRket
HB_MAD003,2025-W10,4247.0,Madina SupermRket
HB_MAD003,2025-W15,1150.0,Madina SupermRket
HB_MAD003,2025-W17,2741.0,Madina SupermRket
HB_MAD003,2025-W18,1413.0,Madina SupermRket
HB_MAD003,2025-W19,1005.0,Madina SupermRket
HB_MAD003,2025-W20,873.0,Madina SupermRket
HB_MAD003,2025-W22,669.0,Madina SupermRket
HB_MAD003,2025-W23,2358.0,Madina SupermRket
HB_MAD003,2025-W24,195.0,Madina SupermRket
HB_MAD003,2025-W25,2019.0,Madina SupermRket
HB_MAD009,2024-W03,124.0,Madiba Discount Store
HB_MAD009,2024-W04,650.0,Madiba Discount Store
HB_MAD009,2025-W02,336.0,Madiba Discount Store
HB_MAD009,2025-W03,124.0,Madiba Discount Store
HB_MAD009,2025-W04,650.0,Madiba Discount Store
HB_MAD009,2025-W10,305.0,Madiba Discount Store
HB_MAD009,2025-W11,151.0,Madiba Discount Store
HB_MAD009,2025-W12,1336.0,Madiba Discount Store
HB_MAD009,2025-W13,839.0,Madiba Discount Store
HB_MAD009,2025-W15,542.0,Madiba Discount Store
HB_MAD009,2025-W16,2226.0,Madiba Discount Store
HB_MAD009,2025-W17,1786.0,Madiba Discount Store
HB_MAD009,2025-W18,647.0,Madiba Discount Store
HB_MAD009,2025-W19,674.0,Madiba Discount Store
HB_MAD009,2025-W20,147.0,Madiba Discount Store
HB_MAD009,2025-W21,522.0,Madiba Discount Store
HB_MAD009,2025-W22,1430.0,Madiba Discount Store
HB_MAD009,2025-W24,547.0,Madiba Discount Store
HB_MAD009,2025-W26,3352.0,Madiba Discount Store
HB_MOL001,2024-W05,168.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W02,10156.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W05,168.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W10,4718.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W11,592.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W13,480.0,MOLOMO GENERAL DEALER
HB_MOL001,2025-W14,196.0,MOLOMO GENERAL DEALER
