category_l1,date,period,quantity,revenue,num_orders,num_customers
Beverages,2025-05-07,H1,3,516.09,3,3
Beverages,2025-05-08,H1,1761,302892.73,2,2
Beverages,2025-05-10,H1,204,34360.0,2,2
Beverages,2025-05-12,H1,4,688.8199999999999,2,2
Beverages,2025-05-13,H1,4313,741835.68,3,3
Beverages,2025-05-14,H1,10655,1832659.77,9,9
Beverages,2025-05-15,H1,8,1272.0,1,1
Beverages,2025-05-16,H1,4,686.72,1,1
Beverages,2025-05-17,H1,4,686.72,2,2
Beverages,2025-05-21,H1,1,172.73,1,1
Beverages,2025-05-22,H1,2,343.36,1,1
Beverages,2025-05-23,H1,2560,440320.0,1,1
Beverages,2025-05-24,H1,2737,462598.59,5,5
Beverages,2025-05-27,H1,6480,1115137.0,7,7
Beverages,2025-05-28,H1,2189,375419.86,8,8
Beverages,2025-05-29,H1,3,514.02,3,3
Beverages,2025-05-30,H1,63,10834.720000000001,5,5
Beverages,2025-05-31,H1,1,171.68,1,1
Beverages,2025-06-10,H1,1704,148296.0,2,2
Beverages,2025-06-17,H1,3360,288960.0,2,2
Beverages,2025-06-20,H1,1680,144480.0,1,1
Beverages,2025-06-21,H1,24,3816.0,1,1
Beverages,2025-06-23,H1,1680,144480.0,1,1
Beverages,2025-06-24,H1,3360,288960.0,2,2
Beverages,2025-06-28,H1,5040,433440.0,3,3
Beverages,2025-06-30,H2,1704,148296.0,2,2
Beverages,2025-07-01,H2,12,1056.0,1,1
Beverages,2025-07-03,H2,494,88635.4,2,2
Beverages,2025-07-04,H2,492,88272.0,2,2
Beverages,2025-07-07,H2,1312,226956.0,3,3
Beverages,2025-07-08,H2,12,1056.0,1,1
Beverages,2025-07-09,H2,4845,847972.0,9,9
Beverages,2025-07-10,H2,2585,447640.0,5,5
Beverages,2025-07-11,H2,440,74496.0,3,3
Beverages,2025-07-14,H2,492,88272.0,2,2
Beverages,2025-07-15,H2,480,87216.0,1,1
Beverages,2025-07-16,H2,492,88272.0,2,2
Beverages,2025-07-17,H2,1311,225448.0,6,6
Beverages,2025-07-18,H2,36,3168.0,3,3
Beverages,2025-07-21,H2,2885,499251.0,7,7
Beverages,2025-07-22,H2,36,3168.0,3,3
Beverages,2025-07-23,H2,1281,222808.0,2,2
Beverages,2025-07-24,H2,38,3344.0,5,5
Beverages,2025-07-25,H2,3259,571462.7,5,5
Beverages,2025-07-26,H2,1537,267352.0,4,4
Beverages,2025-07-28,H2,4772,835113.3,10,10
Beverages,2025-07-29,H2,1294,223952.0,4,4
Beverages,2025-07-30,H2,1588,275355.5,6,6
Beverages,2025-07-31,H2,673,118910.9,4,4
Beverages,2025-08-01,H2,24,2112.0,1,1
Beverages,2025-08-02,H2,60,5256.0,3,3
Beverages,2025-08-04,H2,12,1032.0,1,1
Beverages,2025-08-05,H2,71,8709.0,3,3
Beverages,2025-08-06,H2,48,4224.0,2,2
Beverages,2025-08-07,H2,511,90441.0,3,3
Beverages,2025-08-08,H2,3980,675188.0,14,14
Beverages,2025-08-09,H2,5374,931502.0,12,12
Beverages,2025-08-11,H2,6208,1062127.25,32,31
Beverages,2025-08-12,H2,5064,879363.6,16,16
Beverages,2025-08-13,H2,1330,230954.5,8,8
Beverages,2025-08-14,H2,2036,351905.05,11,11
Beverages,2025-08-15,H2,1466,254570.90000000002,10,10
Beverages,2025-08-16,H2,4014,697031.1,9,8
Beverages,2025-08-18,H2,1649,286348.85,12,12
Beverages,2025-08-19,H2,1286,223227.25,8,8
Beverages,2025-08-20,H2,2152,372991.6,12,11
Beverages,2025-08-21,H2,2328,404257.2,11,11
Beverages,2025-08-22,H2,2961,512704.6,10,10
Beverages,2025-08-23,H2,481,82225.9,11,10
Beverages,2025-08-25,H2,756,129979.65,12,12
Beverages,2025-08-26,H2,903,156805.95,8,8
Beverages,2025-08-27,H2,2036,352078.35,10,10
Beverages,2025-08-28,H2,425,71808.3,6,6
Beverages,2025-08-29,H2,2747,475716.8,17,17
Beverages,2025-08-30,H2,633,109920.45,6,6
Beverages,2025-09-01,H2,29,2471.0,3,3
Beverages,2025-09-02,H2,63,8995.0,4,4
Beverages,2025-09-03,H2,3901,651321.8,5,5
Beverages,2025-09-04,H2,151,12891.0,13,12
Beverages,2025-09-05,H2,5853,999441.95,9,8
Beverages,2025-09-06,H2,18,1530.0,1,1
Beverages,2025-09-09,H2,4003,675078.6,9,9
Beverages,2025-09-10,H2,9422,1634753.05,11,11
Beverages,2025-09-11,H2,8701,1510389.3,8,8
Beverages,2025-09-12,H2,2720,472328.0,1,1
Beverages,2025-09-13,H2,7060,1200779.2,9,9
Beverages,2025-09-15,H2,4,344.0,1,1
Beverages,2025-09-16,H2,1874,322089.4,6,6
Beverages,2025-09-17,H2,4968,856929.05,8,8
Beverages,2025-09-18,H2,6780,1178809.55,7,5
Beverages,2025-09-20,H2,4472,767920.5,12,12
Beverages,2025-09-23,H2,4626,801650.9,10,9
Beverages,2025-09-24,H2,16,1376.0,2,2
