category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Toiletries,2025-W31,H2,273086,34760578.82,443,225,2025-07-28
Toiletries,2025-W32,H2,129837,19589040.59,575,395,2025-08-04
Toiletries,2025-W33,H2,281925,35219693.2,893,349,2025-08-11
Toiletries,2025-W34,H2,200195,26062034.96,707,318,2025-08-18
Toiletries,2025-W35,H2,236616,29820054.56,789,341,2025-08-25
Toiletries,2025-W36,H2,282928,37021557.59,533,255,2025-09-01
Toiletries,2025-W37,H2,290742,31272381.84,668,276,2025-09-08
Toiletries,2025-W38,H2,245687,27306119.22,528,277,2025-09-15
Toiletries,2025-W39,H2,193213,23956510.29,438,243,2025-09-22
Toiletries,2025-W40,H2,277308,35560030.34,755,310,2025-09-29
Toiletries,2025-W41,H2,181016,25602580.69,757,348,2025-10-06
Toiletries,2025-W42,H2,128908,18962300.59,420,270,2025-10-13
Toiletries,2025-W43,H2,227137,29604439.64,626,330,2025-10-20
Toiletries,2025-W44,H2,472936,51185427.25,598,274,2025-10-27
Toiletries,2025-W45,H2,268655,29152354.76,705,393,2025-11-03
Toiletries,2025-W46,H2,260050,24636024.94,608,285,2025-11-10
Toiletries,2025-W47,H2,932457,35127016.18,1325,327,2025-11-17
Toiletries,2025-W48,H2,395759,18751245.07,511,241,2025-11-24
Toiletries,2025-W49,H2,306264,43013721.14,547,262,2025-12-01
Toiletries,2025-W50,H2,274175,40213245.63,560,360,2025-12-08
Toiletries,2025-W51,H2,314861,46920911.27,754,412,2025-12-15
Toiletries,2025-W52,H2,22687,4826265.03,54,43,2025-12-22
Unknown,2025-W05,H1,4584,1069491.0,4,4,2025-02-01
Unknown,2025-W06,H1,118956,26076326.9,144,106,2025-02-03
Unknown,2025-W07,H1,50714,11437563.7,127,95,2025-02-10
Unknown,2025-W08,H1,99167,24592375.5,185,138,2025-02-17
Unknown,2025-W09,H1,42327,8593181.15,60,41,2025-02-24
Unknown,2025-W10,H1,305594,35234521.5,233,109,2025-03-03
Unknown,2025-W11,H1,318860,43491453.78,261,135,2025-03-10
Unknown,2025-W12,H1,456436,56681134.23,340,159,2025-03-17
Unknown,2025-W13,H1,391380,56667491.26,365,178,2025-03-24
Unknown,2025-W14,H1,150551,24993848.39,170,118,2025-03-31
Unknown,2025-W15,H1,29749,6431875.2,147,121,2025-04-07
Unknown,2025-W16,H1,18351,3110519.36,116,104,2025-04-14
Unknown,2025-W17,H1,20214,4364456.74,136,117,2025-04-21
Unknown,2025-W18,H1,61061,11491527.39,150,117,2025-04-28
Unknown,2025-W19,H1,61924,10188868.58,129,100,2025-05-05
Unknown,2025-W20,H1,119088,21754977.14,271,168,2025-05-12
Unknown,2025-W21,H1,209377,34146207.45,384,226,2025-05-19
Unknown,2025-W22,H1,55331,9581845.03,132,108,2025-05-26
Unknown,2025-W23,H1,25723,4549642.72,38,30,2025-06-02
Unknown,2025-W24,H1,109871,20511044.92,198,117,2025-06-09
Unknown,2025-W25,H1,97324,17631312.65,134,86,2025-06-16
Unknown,2025-W26,H1,156056,17514835.55,335,194,2025-06-23
Unknown,2025-W27,H2,111256,19049223.31,169,118,2025-06-30
Unknown,2025-W28,H2,36155,9342833.92,188,134,2025-07-07
Unknown,2025-W29,H2,21821,5515765.4399999995,121,95,2025-07-14
Unknown,2025-W30,H2,36314,9205331.26,197,88,2025-07-21
Unknown,2025-W31,H2,68064,16199267.08,281,148,2025-07-28
Unknown,2025-W32,H2,169281,30273634.51,485,347,2025-08-04
Unknown,2025-W33,H2,236621,34333219.15,607,256,2025-08-11
Unknown,2025-W34,H2,84717,13904484.66,421,217,2025-08-18
Unknown,2025-W35,H2,110321,18697586.57,473,234,2025-08-25
Unknown,2025-W36,H2,78629,16504814.41,426,183,2025-09-01
Unknown,2025-W37,H2,109937,30146364.03,292,150,2025-09-08
Unknown,2025-W38,H2,48042,13491873.75,216,132,2025-09-15
Unknown,2025-W39,H2,46929,15278271.07,170,121,2025-09-22
Unknown,2025-W40,H2,112851,24756192.57,342,169,2025-09-29
Unknown,2025-W41,H2,139777,24882433.53,642,279,2025-10-06
Unknown,2025-W42,H2,53192,9106283.77,302,211,2025-10-13
Unknown,2025-W43,H2,176598,35779650.42,556,274,2025-10-20
Unknown,2025-W44,H2,479071,82116331.75,477,187,2025-10-27
Unknown,2025-W45,H2,571424,40228743.09,615,395,2025-11-03
Unknown,2025-W46,H2,623288,39171650.71,508,219,2025-11-10
Unknown,2025-W47,H2,4055531,104167286.33,1224,250,2025-11-17
Unknown,2025-W48,H2,1565736,39302470.3,361,156,2025-11-24
